# DFT TOTAL ENERGY =     -2.057686916e+03 Hartree     =  -5.402456254965e+06 kJ/mol
# CELL VOLUME      =             754.2924 Angstrom^3  =             454.2455 cm^3/mol
# LATTICE PARAMETERS (ANGSTROM, DEGREE)
           A           B           C       ALPHA        BETA       GAMMA
      7.1630      9.2762     12.6705     90.0000    116.3697     90.0000

# HARMONIC THERMODYNAMICS AT QPOINT #       0

## ZERO POINT ENERGY =   1.759105796682e+03 kJ/mol

## TEMPERATURE DEPENDENT PROPERTIES

    T(K)       U_vib(kJ/mol)    Entropy(J/mol*K)        C_V(J/mol*K)   Helmholtz(kJ/mol)
    0.00  1.759105796683e+03  0.000000000000e+00  0.000000000000e+00 -5.400697149168e+06
   30.00  1.759728716964e+03  2.809924340535e+01  6.869991478105e+01 -5.400697369225e+06
   60.00  1.763590198299e+03  1.127657351912e+02  1.817623824228e+02 -5.400699430711e+06
   90.00  1.770242644534e+03  2.016443001011e+02  2.574681609913e+02 -5.400704160308e+06
  120.00  1.778894637325e+03  2.841942652398e+02  3.181905845057e+02 -5.400711463640e+06
  150.00  1.789303004136e+03  3.613752386128e+02  3.755651870055e+02 -5.400721158247e+06
  180.00  1.801430895536e+03  4.349218708036e+02  4.330962302132e+02 -5.400733110006e+06
  210.00  1.815298387794e+03  5.060622603760e+02  4.915599099926e+02 -5.400747229652e+06
  240.00  1.830932087916e+03  5.755606174896e+02  5.507727635991e+02 -5.400763457425e+06
  270.00  1.848346904404e+03  6.438642528275e+02  6.101974072515e+02 -5.400781751409e+06
  300.00  1.867539563915e+03  7.112146322859e+02  6.691857031378e+02 -5.400802079791e+06

## GIBBS FREE ENERGY AT    0.00 GPa

    T(K)       Gibbs(kJ/mol)
    0.00 -5.400697149168e+06
   30.00 -5.400697369225e+06
   60.00 -5.400699430711e+06
   90.00 -5.400704160308e+06
  120.00 -5.400711463640e+06
  150.00 -5.400721158247e+06
  180.00 -5.400733110006e+06
  210.00 -5.400747229652e+06
  240.00 -5.400763457425e+06
  270.00 -5.400781751409e+06
  300.00 -5.400802079791e+06

## GIBBS FREE ENERGY AT    0.10 GPa

    T(K)       Gibbs(kJ/mol)
    0.00 -5.400651724616e+06
   30.00 -5.400651944673e+06
   60.00 -5.400654006159e+06
   90.00 -5.400658735756e+06
  120.00 -5.400666039088e+06
  150.00 -5.400675733695e+06
  180.00 -5.400687685454e+06
  210.00 -5.400701805100e+06
  240.00 -5.400718032873e+06
  270.00 -5.400736326857e+06
  300.00 -5.400756655239e+06

## GIBBS FREE ENERGY AT    0.20 GPa

    T(K)       Gibbs(kJ/mol)
    0.00 -5.400606300064e+06
   30.00 -5.400606520121e+06
   60.00 -5.400608581607e+06
   90.00 -5.400613311203e+06
  120.00 -5.400620614535e+06
  150.00 -5.400630309143e+06
  180.00 -5.400642260902e+06
  210.00 -5.400656380548e+06
  240.00 -5.400672608321e+06
  270.00 -5.400690902305e+06
  300.00 -5.400711230687e+06

## GIBBS FREE ENERGY AT    0.30 GPa

    T(K)       Gibbs(kJ/mol)
    0.00 -5.400560875512e+06
   30.00 -5.400561095569e+06
   60.00 -5.400563157055e+06
   90.00 -5.400567886651e+06
  120.00 -5.400575189983e+06
  150.00 -5.400584884591e+06
  180.00 -5.400596836350e+06
  210.00 -5.400610955996e+06
  240.00 -5.400627183769e+06
  270.00 -5.400645477753e+06
  300.00 -5.400665806135e+06

## GIBBS FREE ENERGY AT    0.40 GPa

    T(K)       Gibbs(kJ/mol)
    0.00 -5.400515450960e+06
   30.00 -5.400515671017e+06
   60.00 -5.400517732503e+06
   90.00 -5.400522462099e+06
  120.00 -5.400529765431e+06
  150.00 -5.400539460038e+06
  180.00 -5.400551411798e+06
  210.00 -5.400565531444e+06
  240.00 -5.400581759217e+06
  270.00 -5.400600053201e+06
  300.00 -5.400620381583e+06

## GIBBS FREE ENERGY AT    0.50 GPa

    T(K)       Gibbs(kJ/mol)
    0.00 -5.400470026408e+06
   30.00 -5.400470246465e+06
   60.00 -5.400472307950e+06
   90.00 -5.400477037547e+06
  120.00 -5.400484340879e+06
  150.00 -5.400494035486e+06
  180.00 -5.400505987246e+06
  210.00 -5.400520106892e+06
  240.00 -5.400536334665e+06
  270.00 -5.400554628649e+06
  300.00 -5.400574957030e+06



