# DFT TOTAL ENERGY =     -2.057687007e+03 Hartree     =  -5.402456494760e+06 kJ/mol
# CELL VOLUME      =             753.8001 Angstrom^3  =             453.9490 cm^3/mol
# LATTICE PARAMETERS (ANGSTROM, DEGREE)
           A           B           C       ALPHA        BETA       GAMMA
      7.1614      9.2656     12.6772     90.0000    116.3487     90.0000

# HARMONIC THERMODYNAMICS AT QPOINT #       0

## ZERO POINT ENERGY =   1.681258208716e+03 kJ/mol

## TEMPERATURE DEPENDENT PROPERTIES

    T(K)       U_vib(kJ/mol)    Entropy(J/mol*K)        C_V(J/mol*K)   Helmholtz(kJ/mol)
    0.00  1.681258208716e+03  0.000000000000e+00  0.000000000000e+00 -5.400775236551e+06
   30.00  1.681738927191e+03  2.118783798903e+01  5.705185721290e+01 -5.400775391468e+06
   60.00  1.685203433619e+03  9.672869900884e+01  1.688855841717e+02 -5.400777095048e+06
   90.00  1.691534961250e+03  1.812045962843e+02  2.493374621832e+02 -5.400781268212e+06
  120.00  1.700029833539e+03  2.622076599171e+02  3.158872576518e+02 -5.400787929846e+06
  150.00  1.710457220275e+03  3.395058022284e+02  3.791215685257e+02 -5.400796963410e+06
  180.00  1.722778182325e+03  4.142099272160e+02  4.423829730565e+02 -5.400808274364e+06
  210.00  1.737007593047e+03  4.871990737480e+02  5.063543048829e+02 -5.400821798972e+06
  240.00  1.753163589078e+03  5.590145194631e+02  5.707298433348e+02 -5.400837494655e+06
  270.00  1.771248834534e+03  6.299448975920e+02  6.348480696510e+02 -5.400855331048e+06
  300.00  1.791244412120e+03  7.001113203638e+02  6.979621472599e+02 -5.400875283744e+06

## GIBBS FREE ENERGY AT    0.00 GPa

    T(K)       Gibbs(kJ/mol)
    0.00 -5.400775236551e+06
   30.00 -5.400775391468e+06
   60.00 -5.400777095048e+06
   90.00 -5.400781268212e+06
  120.00 -5.400787929846e+06
  150.00 -5.400796963410e+06
  180.00 -5.400808274364e+06
  210.00 -5.400821798972e+06
  240.00 -5.400837494655e+06
  270.00 -5.400855331048e+06
  300.00 -5.400875283744e+06

## GIBBS FREE ENERGY AT    0.25 GPa

    T(K)       Gibbs(kJ/mol)
    0.00 -5.400661749299e+06
   30.00 -5.400661904216e+06
   60.00 -5.400663607796e+06
   90.00 -5.400667780961e+06
  120.00 -5.400674442594e+06
  150.00 -5.400683476158e+06
  180.00 -5.400694787113e+06
  210.00 -5.400708311721e+06
  240.00 -5.400724007404e+06
  270.00 -5.400741843796e+06
  300.00 -5.400761796492e+06

## GIBBS FREE ENERGY AT    0.50 GPa

    T(K)       Gibbs(kJ/mol)
    0.00 -5.400548262048e+06
   30.00 -5.400548416964e+06
   60.00 -5.400550120545e+06
   90.00 -5.400554293709e+06
  120.00 -5.400560955342e+06
  150.00 -5.400569988906e+06
  180.00 -5.400581299861e+06
  210.00 -5.400594824469e+06
  240.00 -5.400610520152e+06
  270.00 -5.400628356544e+06
  300.00 -5.400648309240e+06

## GIBBS FREE ENERGY AT    0.75 GPa

    T(K)       Gibbs(kJ/mol)
    0.00 -5.400434774796e+06
   30.00 -5.400434929712e+06
   60.00 -5.400436633293e+06
   90.00 -5.400440806457e+06
  120.00 -5.400447468090e+06
  150.00 -5.400456501655e+06
  180.00 -5.400467812609e+06
  210.00 -5.400481337217e+06
  240.00 -5.400497032900e+06
  270.00 -5.400514869292e+06
  300.00 -5.400534821988e+06

## GIBBS FREE ENERGY AT    1.00 GPa

    T(K)       Gibbs(kJ/mol)
    0.00 -5.400321287544e+06
   30.00 -5.400321442461e+06
   60.00 -5.400323146041e+06
   90.00 -5.400327319205e+06
  120.00 -5.400333980838e+06
  150.00 -5.400343014403e+06
  180.00 -5.400354325357e+06
  210.00 -5.400367849965e+06
  240.00 -5.400383545648e+06
  270.00 -5.400401382041e+06
  300.00 -5.400421334737e+06



